Quantity;Order quantity;Manufacturer part no;Received Status;Mouser Part no.;Price per unit;Price for the order quantity;Comment;Description;Designator;;
20;60,00;C3216X7R1H475K160AC;;810-C3216X7R1H475K;0,25;14,76;4.7uF;Multilayer Ceramic Capacitors 4.7uF ±10% 50V X7R SMD 1206 C3216X7R1H475K160AC, Multilayer Ceramic Capacitors 4.7uF ±10% 50V X7R SMD 1206  C3216X7R1H475K160AC;C1, C3, C4, C6, C7, C9, C10, C12, C13, C16, C17, C20, C21, C24, C25, C28, C29, C31, C32, C35;;
10;30,00;C1206C104K5RACTU;;80-C1206C104K5R;0,01;0,33;0.1uF;CAP, Ceramic, 0.1 uF, +/- 10%, 50 V, -55 to 125 degC, 1206 (3216 Metric), RoHS, Tape and Reel;C2, C5, C8, C11, C15, C19, C23, C27, C30, C34;;
5;15,00;C1206C106K4RACTU;;80-C1206C106K4R;0,01;0,20;10uF;Multilayer Ceramic Capacitors MLCC - SMD/SMT 16V 10uF X7R 1206 10%;C14, C18, C22, C26, C33;;
5;15,00;SMBJ24CA-E3/52;;625-SMBJ24CA-E3;0,13;2,01;ESD Protection Diodes / TVS Diodes;TRANSZORB(R) Transient Voltage Suppressor, 24 V, -55 to 150 degC, 2-Pin DO-214AA (SMBJ), RoHS, Tape and Reel;D1, D2, D3, D4, D5;;
1;3,00;TSW-104-07-G-D;;200-TSW10407GD;0,662;1,99;Header 4X2A;Header, 8-Pin, Dual row;P1;;
3;9,00;HV_terminal;;;;0,00;;;P2, P3, P4;;
5;15,00;G2R1000MT33J-TR;;905-G2R1000MT33J-TR;14,53;217,95;SiC MOSFETs 3300V 1000mohm TO-263-7 G2R SiC MOSFET;N-Channel 3300 V 5A (Tc) 74W (Tc) Surface Mount TO-263-7;Q1, Q2, Q3, Q4, Q5;;
5;15,00;CRCW120610K0FKEAC;;71-CRCW120610K0FKEAC;0,03;0,39;10 kΩ;Thick Film Resistors - SMD 1/4Watt 10Kohms 1% Commercial Use / RES 10K OHM 1% 1/4W 1206 CRCW120610K0FKEAC;R1, R2, R3, R4, R13;;
5;15,00;CRCW12104K02FKEA;;71-CRCW1210-4.02K-E3;0,06;0,86;4.02 kΩ;Thick Film Resistors - SMD 1/2watt 4.02Kohms 1% ;R5, R7, R9, R10, R14;;
5;15,00;RC1206FR-07249RL;;603-RC1206FR-07249RL;0,01;0,14;249 Ω;Thick Film Resistors - SMD General Purpose Chip Resistor 1206, 249Ohms, 1%, 1/4W;R6, R8, R11, R12, R15;;
14;42,00;5003;;;;0,00;;;TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP11, TP12, TP13, TP14, TP19;;
5;15,00;1ED3241MC12HXUMA1;;726-ED3241MC12HXUMA1;1,74;26,10;1ED3241MC12H;18A, 5.7kV single channel isolator gate driver with two- level-slew rate control;U1, U2, U3, U4, U9;;
5;15,00;R05P22005D;;919-R05P22005D;6,84;102,60;R05P22005D;DC-DC Unregulated Power Supply Module, 2 Output, 2W, Hybrid;U5, U6, U7, U8, U10;;
;;;;TOTAL;24,27;367,31;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
